node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix
0,10,9,False,393,0.014,10-9
1,5,9,False,139,0.075,5-9
2,2,2,False,321,0.023,2
3,10,10,False,99,0.07,10
4,7,7,False,336,0.095,7
5,2,2,False,212,0.055,2
6,6,6,False,430,0.073,6
7,1,4,False,374,0.075,1-4
8,8,8,False,317,0.044,8
9,2,2,False,339,0.018,2
10,6,9,False,46,0.086,6-9
11,2,2,False,372,0.021,2
12,8,8,False,171,0.089,8
13,10,10,False,495,0.076,10
14,10,10,False,95,0.094,10
15,6,6,False,238,0.083,6
16,9,9,False,227,0.032,9
17,9,9,False,361,0.026,9
18,5,5,False,294,0.073,5
19,5,5,False,342,0.085,5
20,10,10,False,433,0.014,10
21,6,8,False,407,0.058,6-8
22,3,3,False,128,0.099,3
23,10,1,True,6370,0.03,10-1
24,10,10,False,265,0.03,10
25,7,7,False,164,0.012,7
26,9,9,False,427,0.032,9
27,9,6,False,53,0.04,9-6
28,1,1,False,234,0.096,1
29,3,10,False,303,0.025,3-10
30,6,7,False,232,0.091,6-7
31,3,1,False,126,0.044,3-1
32,9,9,False,202,0.021,9
33,5,8,False,434,0.016,5-8
34,5,5,False,471,0.017,5
35,10,10,False,363,0.07,10
36,10,10,False,197,0.057,10
37,3,3,False,415,0.036,3
38,2,2,False,70,0.011,2
39,5,8,False,235,0.045,5-8
40,3,3,False,381,0.01,3
41,6,6,False,425,0.02,6
42,4,4,False,121,0.024,4
43,1,1,False,404,0.073,1
44,3,9,False,121,0.063,3-9
45,9,9,False,87,0.034,9
46,4,10,True,14419,0.056,4-10
47,9,9,False,172,0.046,9
48,5,10,False,474,0.056,5-10
49,3,5,False,289,0.07,3-5
50,3,3,False,443,0.052,3
51,8,4,False,203,0.077,8-4
52,8,8,False,187,0.065,8
53,10,3,False,473,0.085,10-3
54,7,10,False,260,0.087,7-10
55,6,6,False,437,0.098,6
56,1,1,False,195,0.013,1
57,7,7,False,145,0.05,7
58,2,2,False,274,0.019,2
59,4,4,False,204,0.088,4
60,5,5,False,398,0.016,5
61,8,6,False,307,0.021,8-6
62,5,5,False,459,0.083,5
63,10,4,False,397,0.07,10-4
64,1,5,False,327,0.087,1-5
65,5,5,True,6522,0.086,5
66,5,8,False,25,0.074,5-8
67,10,10,False,212,0.066,10
68,9,8,False,349,0.023,9-8
69,8,5,False,113,0.018,8-5
70,2,2,False,451,0.069,2
71,9,2,False,418,0.062,9-2
72,8,8,False,311,0.02,8
73,6,6,False,146,0.058,6
74,7,7,False,330,0.063,7
75,4,4,False,498,0.054,4
76,1,1,False,59,0.078,1
77,1,1,False,279,0.011,1
78,8,8,False,279,0.041,8
79,2,6,False,348,0.056,2-6
80,7,7,False,309,0.052,7
81,10,10,False,364,0.019,10
82,3,4,False,235,0.019,3-4
83,7,1,False,186,0.067,7-1
84,5,5,False,95,0.092,5
85,9,9,False,362,0.084,9
86,3,3,False,268,0.037,3
87,10,1,False,65,0.087,10-1
88,6,6,False,65,0.039,6
89,9,8,False,14,0.021,9-8
90,10,8,False,444,0.016,10-8
91,7,9,False,244,0.071,7-9
92,3,3,False,458,0.035,3
93,10,10,False,266,0.027,10
94,7,7,False,497,0.032,7
95,3,2,False,323,0.041,3-2
96,7,7,False,397,0.098,7
97,8,7,False,379,0.02,8-7
98,2,10,False,491,0.021,2-10
99,1,2,False,433,0.053,1-2
100,1,1,False,214,0.02,1
101,3,3,False,384,0.021,3
102,3,3,False,217,0.096,3
103,7,7,False,364,0.099,7
104,4,10,False,193,0.044,4-10
105,3,8,False,157,0.062,3-8
106,10,10,False,378,0.024,10
107,4,4,False,246,0.035,4
108,10,3,False,230,0.074,10-3
109,8,8,False,311,0.06,8
110,9,10,False,416,0.055,9-10
111,7,5,False,403,0.041,7-5
112,1,5,False,116,0.034,1-5
113,3,7,False,181,0.069,3-7
114,3,3,False,50,0.011,3
115,2,2,False,111,0.022,2
116,9,9,False,138,0.031,9
117,8,5,False,144,0.065,8-5
118,9,9,False,243,0.025,9
119,4,4,False,251,0.048,4
120,7,7,False,210,0.077,7
121,10,10,False,449,0.037,10
122,4,4,False,129,0.076,4
123,3,3,False,440,0.078,3
124,5,2,False,184,0.077,5-2
125,9,5,False,65,0.061,9-5
126,7,2,False,436,0.051,7-2
127,7,7,False,413,0.096,7
128,10,2,False,440,0.013,10-2
129,7,7,True,13439,0.057,7
130,7,10,False,121,0.068,7-10
131,10,10,False,79,0.057,10
132,9,9,False,116,0.028,9
133,6,6,False,250,0.087,6
134,6,6,False,209,0.046,6
135,7,9,False,146,0.067,7-9
136,1,1,False,291,0.097,1
137,6,6,False,197,0.026,6
138,2,8,False,340,0.089,2-8
139,10,4,False,478,0.034,10-4
140,9,9,False,252,0.014,9
141,9,9,True,11597,0.023,9
142,7,5,False,312,0.096,7-5
143,5,5,False,300,0.087,5
144,2,2,False,272,0.079,2
145,5,6,False,436,0.027,5-6
146,9,9,False,174,0.011,9
147,5,5,False,379,0.093,5
148,9,9,False,306,0.015,9
149,9,9,False,228,0.075,9
150,1,1,False,473,0.067,1
151,2,2,False,337,0.067,2
152,8,2,False,362,0.086,8-2
153,1,1,False,420,0.035,1
154,2,2,False,243,0.037,2
155,9,9,False,184,0.02,9
156,4,4,False,129,0.069,4
157,6,8,False,146,0.071,6-8
158,9,4,False,424,0.064,9-4
159,9,6,False,38,0.011,9-6
160,6,6,False,134,0.089,6
161,5,5,True,8889,0.021,5
162,8,8,False,191,0.066,8
163,6,7,False,272,0.011,6-7
164,1,4,False,234,0.097,1-4
165,4,4,False,428,0.049,4
166,4,4,False,20,0.079,4
167,4,4,False,36,0.087,4
168,5,4,False,50,0.044,5-4
169,6,6,False,94,0.064,6
170,4,4,False,116,0.028,4
171,3,3,False,154,0.097,3
172,8,8,False,473,0.046,8
173,6,6,False,165,0.049,6
174,6,1,False,472,0.099,6-1
175,4,8,False,307,0.055,4-8
176,6,9,False,458,0.051,6-9
177,6,6,False,34,0.026,6
178,10,10,False,191,0.04,10
179,8,7,False,202,0.022,8-7
180,5,7,False,455,0.051,5-7
181,4,2,False,85,0.089,4-2
182,3,3,False,38,0.089,3
183,3,3,False,374,0.048,3
184,9,5,False,420,0.082,9-5
185,2,8,False,133,0.016,2-8
186,4,1,False,451,0.052,4-1
187,7,8,False,405,0.035,7-8
188,6,8,False,277,0.048,6-8
189,10,10,False,112,0.077,10
190,9,8,False,405,0.085,9-8
191,10,9,False,466,0.072,10-9
192,4,4,False,177,0.023,4
193,10,10,False,97,0.092,10
194,10,10,False,482,0.03,10
195,7,1,False,22,0.091,7-1
196,1,8,False,452,0.083,1-8
197,5,5,False,223,0.099,5
198,1,10,False,160,0.073,1-10
199,4,7,False,463,0.018,4-7
200,6,6,False,171,0.026,6
201,8,7,False,192,0.063,8-7
202,1,1,False,70,0.047,1
203,2,5,False,267,0.096,2-5
204,6,6,False,497,0.091,6
205,5,5,False,307,0.079,5
206,1,1,False,130,0.072,1
207,3,3,False,290,0.068,3
208,9,9,False,339,0.068,9
209,5,5,False,68,0.04,5
210,5,5,True,10545,0.066,5
211,9,9,False,429,0.097,9
212,3,3,False,349,0.051,3
213,4,4,False,500,0.011,4
214,7,7,False,87,0.053,7
215,3,3,False,447,0.038,3
216,4,3,False,470,0.041,4-3
217,9,1,False,310,0.08,9-1
218,3,3,False,473,0.087,3
219,5,6,False,426,0.023,5-6
220,8,2,False,154,0.078,8-2
221,4,2,False,166,0.082,4-2
222,9,9,False,402,0.068,9
223,3,9,False,28,0.038,3-9
224,8,8,False,81,0.095,8
225,7,7,False,97,0.05,7
226,2,10,False,304,0.057,2-10
227,5,5,False,364,0.034,5
228,8,8,False,16,0.037,8
229,2,2,True,9019,0.085,2
230,5,3,False,201,0.081,5-3
231,3,3,False,171,0.048,3
232,8,8,False,129,0.021,8
233,2,5,False,298,0.012,2-5
234,9,9,False,190,0.076,9
235,8,8,False,39,0.071,8
236,7,5,False,461,0.011,7-5
237,5,5,False,310,0.071,5
238,2,1,True,7864,0.075,2-1
239,10,6,False,481,0.07,10-6
240,8,8,False,154,0.083,8
241,8,1,False,32,0.098,8-1
242,9,9,False,495,0.013,9
243,2,2,False,282,0.048,2
244,8,8,False,431,0.031,8
245,2,2,False,324,0.039,2
246,10,3,False,369,0.088,10-3
247,5,10,False,473,0.029,5-10
248,5,5,False,304,0.093,5
249,2,2,False,180,0.022,2
250,5,7,False,369,0.097,5-7
251,10,4,False,43,0.044,10-4
252,3,3,False,101,0.038,3
253,4,4,False,40,0.053,4
254,5,5,False,134,0.044,5
255,3,9,True,10342,0.01,3-9
256,6,6,False,206,0.015,6
257,7,4,True,15963,0.013,7-4
258,1,2,False,460,0.07,1-2
259,7,6,True,13197,0.084,7-6
260,5,5,True,6248,0.053,5
261,7,2,False,456,0.013,7-2
262,7,5,False,168,0.011,7-5
263,10,6,False,417,0.085,10-6
264,5,5,False,355,0.094,5
265,1,1,False,177,0.034,1
266,10,10,False,177,0.036,10
267,7,7,False,453,0.057,7
268,6,9,False,180,0.042,6-9
269,8,4,False,85,0.099,8-4
270,8,8,False,142,0.025,8
271,4,10,False,49,0.064,4-10
272,9,9,False,300,0.06,9
273,8,7,False,101,0.082,8-7
274,7,7,False,252,0.042,7
275,7,5,False,131,0.032,7-5
276,5,3,False,270,0.086,5-3
277,5,5,False,430,0.054,5
278,6,6,False,275,0.042,6
279,5,10,False,36,0.035,5-10
280,1,8,False,59,0.055,1-8
281,8,5,False,180,0.024,8-5
282,1,1,False,162,0.042,1
283,1,1,False,418,0.047,1
284,1,7,False,282,0.029,1-7
285,5,5,False,140,0.041,5
286,7,7,False,101,0.089,7
287,6,5,False,300,0.09,6-5
288,2,2,False,196,0.06,2
289,9,3,False,270,0.019,9-3
290,1,1,False,383,0.046,1
291,1,1,False,199,0.025,1
292,6,2,False,349,0.013,6-2
293,1,6,False,260,0.022,1-6
294,8,1,False,146,0.043,8-1
295,1,1,False,142,0.04,1
296,3,3,False,169,0.049,3
297,6,10,False,353,0.048,6-10
298,4,4,False,315,0.09,4
299,2,1,False,387,0.026,2-1
300,1,1,False,366,0.076,1
301,9,9,False,433,0.088,9
302,7,1,True,7233,0.081,7-1
303,3,3,False,418,0.068,3
304,5,5,False,102,0.037,5
305,10,10,False,365,0.048,10
306,5,7,False,146,0.029,5-7
307,9,4,False,421,0.04,9-4
308,8,8,False,281,0.047,8
309,8,8,False,194,0.057,8
310,8,4,False,321,0.089,8-4
311,5,8,False,198,0.07,5-8
312,1,1,False,167,0.022,1
313,6,10,False,248,0.085,6-10
314,6,3,False,35,0.095,6-3
315,1,4,False,84,0.034,1-4
316,2,2,False,154,0.098,2
317,4,4,False,127,0.062,4
318,7,7,False,384,0.096,7
319,3,7,False,410,0.096,3-7
320,2,5,True,5835,0.062,2-5
321,8,8,False,224,0.042,8
322,2,3,False,263,0.045,2-3
323,10,9,False,51,0.082,10-9
324,8,8,False,295,0.069,8
325,10,4,False,292,0.098,10-4
326,2,2,False,290,0.056,2
327,5,8,False,467,0.082,5-8
328,10,10,False,476,0.047,10
329,5,10,False,206,0.088,5-10
330,9,9,False,139,0.011,9
331,3,2,True,8895,0.071,3-2
332,5,2,False,79,0.075,5-2
333,2,8,False,284,0.091,2-8
334,3,3,True,15542,0.049,3
335,3,3,False,351,0.029,3
336,5,5,False,51,0.012,5
337,4,4,False,155,0.057,4
338,4,4,True,12410,0.051,4
339,3,3,False,277,0.024,3
340,10,9,False,50,0.047,10-9
341,10,3,False,59,0.053,10-3
342,1,8,False,486,0.015,1-8
343,8,8,False,66,0.048,8
344,7,7,False,126,0.066,7
345,9,6,False,62,0.098,9-6
346,10,8,True,5238,0.056,10-8
347,7,7,False,318,0.086,7
348,4,4,False,282,0.042,4
349,1,1,False,361,0.02,1
350,6,6,False,105,0.057,6
351,5,4,False,146,0.069,5-4
352,6,10,False,225,0.065,6-10
353,9,9,False,172,0.066,9
354,4,4,False,232,0.019,4
355,3,8,False,493,0.094,3-8
356,9,9,False,28,0.015,9
357,9,9,True,11781,0.073,9
358,2,2,False,190,0.043,2
359,6,6,False,496,0.085,6
360,1,1,False,172,0.031,1
361,4,4,False,327,0.013,4
362,3,3,False,390,0.072,3
363,4,4,False,117,0.1,4
364,5,5,False,291,0.04,5
365,2,6,False,174,0.094,2-6
366,3,8,False,252,0.021,3-8
367,8,8,False,321,0.033,8
368,6,6,False,101,0.055,6
369,1,3,False,287,0.092,1-3
370,9,9,False,256,0.054,9
371,5,10,False,239,0.065,5-10
372,9,9,False,189,0.014,9
373,4,4,False,406,0.066,4
374,6,6,False,370,0.078,6
375,7,2,False,387,0.021,7-2
376,5,5,False,453,0.048,5
377,9,9,False,424,0.094,9
378,8,8,False,322,0.011,8
379,8,4,False,265,0.049,8-4
380,10,10,False,396,0.032,10
381,7,7,False,175,0.012,7
382,8,8,False,446,0.048,8
383,1,1,False,126,0.042,1
384,4,10,False,130,0.021,4-10
385,1,1,False,466,0.096,1
386,7,7,False,320,0.068,7
387,6,6,False,467,0.038,6
388,5,5,False,61,0.029,5
389,7,1,False,376,0.034,7-1
390,4,6,False,324,0.01,4-6
391,6,10,False,335,0.096,6-10
392,7,5,False,332,0.011,7-5
393,4,4,False,453,0.069,4
394,2,7,False,257,0.074,2-7
395,8,4,False,10,0.054,8-4
396,1,1,False,459,0.029,1
397,2,2,False,425,0.082,2
398,7,7,False,125,0.039,7
399,3,3,False,471,0.029,3
400,8,4,False,431,0.09,8-4
401,5,5,False,428,0.068,5
402,4,4,False,338,0.031,4
403,10,10,False,451,0.019,10
404,3,7,False,332,0.019,3-7
405,4,4,False,476,0.07,4
406,9,4,False,172,0.057,9-4
407,9,9,True,11093,0.042,9
408,7,7,False,474,0.073,7
409,6,5,False,358,0.091,6-5
410,7,7,False,151,0.022,7
411,3,1,False,310,0.023,3-1
412,8,8,False,487,0.031,8
413,3,3,False,415,0.019,3
414,10,9,False,217,0.091,10-9
415,3,3,False,188,0.073,3
416,3,3,False,426,0.056,3
417,9,1,False,245,0.096,9-1
418,3,3,False,117,0.013,3
419,10,10,False,438,0.058,10
420,9,9,False,337,0.016,9
421,5,2,False,46,0.084,5-2
422,4,4,False,437,0.081,4
423,2,6,False,352,0.042,2-6
424,3,3,False,199,0.052,3
425,3,3,False,369,0.065,3
426,3,5,True,7056,0.015,3-5
427,8,8,False,452,0.024,8
428,9,9,False,64,0.039,9
429,3,3,False,496,0.092,3
430,5,5,False,124,0.044,5
431,6,5,False,452,0.084,6-5
432,1,1,False,426,0.082,1
433,10,3,False,160,0.059,10-3
434,10,5,True,7991,0.043,10-5
435,4,4,False,237,0.085,4
436,5,5,False,425,0.014,5
437,3,5,False,180,0.077,3-5
438,1,2,False,108,0.092,1-2
439,5,4,False,331,0.076,5-4
440,1,6,False,426,0.097,1-6
441,5,5,False,183,0.019,5
442,2,8,False,452,0.027,2-8
443,6,6,False,378,0.013,6
444,4,4,False,477,0.016,4
445,5,5,False,482,0.067,5
446,1,2,False,188,0.041,1-2
447,9,9,False,286,0.084,9
448,1,1,False,183,0.033,1
449,9,9,True,19451,0.016,9
450,9,7,False,214,0.046,9-7
451,9,9,False,224,0.054,9
452,2,6,False,147,0.016,2-6
453,7,8,False,175,0.083,7-8
454,8,8,False,203,0.018,8
455,4,10,False,139,0.048,4-10
456,4,4,True,16752,0.047,4
457,5,5,False,11,0.053,5
458,4,4,False,188,0.045,4
459,3,7,False,313,0.087,3-7
460,6,6,False,430,0.065,6
461,8,7,False,369,0.021,8-7
462,8,8,False,355,0.091,8
463,8,8,False,352,0.048,8
464,6,9,False,401,0.026,6-9
465,4,2,False,393,0.084,4-2
466,5,5,False,400,0.012,5
467,10,10,False,453,0.099,10
468,6,1,False,125,0.046,6-1
469,4,10,False,137,0.036,4-10
470,5,10,False,253,0.039,5-10
471,2,2,True,9437,0.014,2
472,3,3,False,230,0.04,3
473,7,7,False,136,0.011,7
474,6,5,False,16,0.084,6-5
475,1,2,False,75,0.046,1-2
476,8,8,False,44,0.066,8
477,5,5,False,60,0.016,5
478,3,1,False,293,0.016,3-1
479,6,7,False,296,0.04,6-7
480,9,2,False,436,0.063,9-2
481,6,7,False,247,0.077,6-7
482,9,9,False,47,0.019,9
483,7,7,False,304,0.039,7
484,8,8,False,137,0.019,8
485,6,6,False,489,0.081,6
486,7,7,False,394,0.042,7
487,4,2,False,488,0.085,4-2
488,8,1,False,333,0.081,8-1
489,5,3,False,351,0.086,5-3
490,10,10,False,360,0.031,10
491,2,2,False,16,0.017,2
492,10,1,True,13892,0.078,10-1
493,3,9,False,210,0.028,3-9
494,2,7,True,9041,0.1,2-7
495,1,1,False,228,0.031,1
496,6,6,False,72,0.036,6
497,10,6,False,21,0.087,10-6
498,9,7,False,116,0.031,9-7
499,2,2,True,8513,0.075,2
500,10,10,False,387,0.013,10
501,6,9,False,175,0.058,6-9
502,4,4,False,188,0.045,4
503,2,2,False,63,0.078,2
504,4,4,False,191,0.089,4
505,2,2,False,417,0.077,2
506,10,10,False,444,0.074,10
507,10,8,False,24,0.083,10-8
