source,target
0,14
0,53
0,93
0,110
0,146
0,155
0,176
0,190
0,193
0,255
0,341
0,372
0,377
0,414
0,417
0,420
0,480
0,666
0,671
0,683
0,704
0,721
0,735
0,805
0,918
0,929
0,931
0,954
1,34
1,45
1,69
1,71
1,140
1,176
1,203
1,205
1,247
1,287
1,301
1,326
1,364
1,371
1,401
1,421
1,437
1,466
1,482
1,501
1,509
1,522
1,531
1,552
1,590
1,604
1,605
1,658
1,700
1,715
1,718
1,778
1,805
1,815
1,879
1,961
1,968
1,988
2,71
2,185
2,258
2,322
2,394
2,465
2,471
2,569
2,588
2,648
2,738
2,759
2,791
2,815
2,817
2,847
2,947
2,983
3,48
3,239
3,263
3,325
3,328
3,380
3,414
3,467
3,500
3,621
3,644
3,721
3,861
3,906
4,54
4,214
4,225
4,273
4,483
4,509
4,788
4,893
4,968
4,984
4,994
5,58
5,238
5,421
5,446
5,475
5,480
5,487
5,526
5,527
5,557
5,564
5,569
5,653
5,701
5,729
5,732
5,850
5,905
6,27
6,79
6,256
6,278
6,464
6,597
6,665
6,720
6,819
7,42
7,59
7,82
7,107
7,122
7,170
7,216
7,251
7,293
7,315
7,331
7,348
7,405
7,417
7,529
7,546
7,580
7,621
7,623
7,632
7,637
7,654
7,661
7,674
7,784
7,826
7,880
7,888
7,900
7,951
7,974
7,976
7,977
7,981
7,990
8,33
8,179
8,240
8,273
8,453
8,461
8,507
8,558
8,816
8,980
9,138
9,181
9,299
9,365
9,433
9,438
9,571
9,729
9,759
9,765
9,791
9,795
9,817
9,824
9,850
9,905
10,27
10,71
10,157
10,174
10,177
10,222
10,239
10,272
10,287
10,313
10,352
10,365
10,391
10,403
10,449
10,464
10,479
10,481
10,501
10,592
10,647
10,655
10,742
10,747
10,777
10,792
10,842
10,857
10,899
10,903
10,909
10,934
10,959
11,249
11,316
11,394
11,487
11,492
11,510
11,519
11,672
11,701
11,771
11,824
11,940
11,946
11,959
12,185
12,273
12,281
12,355
12,379
12,395
12,400
12,463
12,712
12,817
12,915
12,948
13,35
13,53
13,67
13,189
13,247
13,325
13,371
13,403
13,506
13,633
13,838
13,930
13,996
14,110
14,189
14,279
14,297
14,352
14,371
14,434
14,467
14,545
14,583
14,584
14,606
14,803
14,898
14,925
14,928
14,930
15,55
15,79
15,292
15,391
15,423
15,511
15,680
15,709
15,799
15,818
15,849
16,44
16,140
16,159
16,223
16,272
16,493
16,541
16,581
16,590
16,651
16,670
16,735
16,762
16,798
16,815
16,875
16,919
17,68
17,158
17,159
17,191
17,217
17,272
17,345
17,407
17,449
17,451
17,635
17,669
17,702
17,715
17,857
17,875
17,954
17,961
17,965
18,33
18,184
18,260
18,264
18,277
18,306
18,364
18,426
18,466
18,533
18,567
18,660
18,679
18,722
18,832
18,895
18,959
18,988
19,34
19,62
19,197
19,306
19,392
19,421
19,466
19,509
19,522
19,538
19,697
19,722
19,988
20,63
20,384
20,584
20,810
20,846
20,898
20,993
20,996
20,997
21,52
21,105
21,134
21,235
21,278
21,382
21,409
21,452
21,496
21,530
21,551
21,597
21,679
21,696
21,712
21,746
21,775
21,822
21,932
21,981
22,101
22,108
22,182
22,223
22,303
22,314
22,362
22,424
22,493
22,548
22,559
22,658
22,700
22,824
22,868
22,952
22,964
23,35
