source,target
0,80
0,109
0,159
0,195
1,13
1,20
1,91
1,174
2,56
2,64
2,76
2,133
2,182
3,73
3,82
3,91
3,133
3,162
3,170
3,171
4,65
5,18
5,66
5,97
5,164
5,197
6,39
7,58
8,47
8,50
8,75
8,147
8,149
9,74
10,63
10,93
10,169
11,47
11,53
11,99
11,117
11,194
12,82
12,130
12,177
13,42
13,76
13,106
13,171
14,34
14,111
14,139
15,25
15,87
15,103
16,23
16,43
17,182
18,55
18,63
18,64
18,81
18,83
18,102
18,131
18,161
18,171
18,173
18,176
19,25
19,58
19,67
19,68
19,70
20,52
20,102
20,191
21,34
21,50
21,77
22,35
22,95
22,194
23,40
23,73
23,92
23,132
23,188
23,198
24,41
24,159
25,37
25,68
25,87
25,183
25,186
26,139
27,74
27,117
27,123
27,153
27,194
28,157
28,163
29,68
29,85
29,121
29,178
30,47
30,51
30,101
30,149
31,86
31,123
31,130
31,150
33,94
33,120
33,170
33,181
33,190
34,46
34,194
35,74
35,161
36,147
36,193
37,72
37,187
38,139
38,165
40,45
40,124
40,134
40,178
41,61
41,78
42,56
42,91
42,162
42,169
43,84
43,148
44,65
45,93
45,122
45,124
45,127
45,128
45,148
45,170
46,65
46,117
46,165
46,194
47,51
47,52
47,54
47,104
47,126
47,147
48,64
48,107
48,122
48,137
48,169
48,174
48,176
48,178
49,110
50,100
51,155
51,177
52,61
52,102
52,192
53,120
55,164
55,176
56,64
56,76
56,80
56,117
56,122
56,128
56,133
56,151
56,153
56,166
56,195
57,94
57,101
57,162
58,63
58,78
58,88
59,99
59,130
59,134
60,82
60,94
60,127
60,181
61,81
62,71
63,67
63,90
63,98
63,137
63,179
64,67
64,82
64,128
64,137
64,180
66,99
67,85
67,107
68,70
68,109
69,131
69,160
70,85
70,164
70,187
70,197
71,93
71,105
71,148
72,78
72,117
73,194
74,97
74,117
74,123
74,166
74,194
75,118
76,96
76,101
76,133
76,149
76,155
77,136
78,145
78,150
78,167
80,153
81,171
81,173
81,180
81,187
82,155
82,162
83,100
83,106
83,144
84,92
84,148
84,169
86,120
86,196
86,199
87,164
87,183
87,190
89,106
89,142
89,154
89,161
90,109
90,119
90,167
90,177
91,181
92,105
92,148
92,178
92,184
93,163
94,122
94,162
95,152
95,168
96,127
97,151
97,185
99,174
100,116
100,142
100,143
100,160
101,134
102,109
102,161
103,110
103,130
103,146
103,183
104,120
105,124
105,198
106,160
107,176
107,197
108,112
109,135
109,155
109,176
109,184
109,191
109,192
110,120
110,167
110,174
111,139
112,145
112,159
112,196
113,194
114,167
115,138
115,151
117,123
117,126
117,153
120,185
121,176
121,197
123,126
123,132
123,148
123,153
123,156
123,186
123,196
124,163
124,178
126,134
126,149
126,152
126,193
127,171
129,158
131,160
131,161
132,168
134,193
135,167
136,138
136,194
137,182
139,169
140,184
141,144
141,149
141,155
142,143
142,180
143,175
144,180
145,183
147,162
148,157
148,158
149,155
150,196
151,153
151,156
151,161
151,166
151,189
152,153
155,171
160,171
160,180
162,181
164,190
166,172
166,194
169,181
169,183
170,182
172,193
174,199
175,187
176,187
177,182
177,188
179,184
187,190
189,194
