node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix,detected_group
0,2,5,False,81,0.076,2-5,8
1,9,7,True,6535,0.03,9-7,3
2,9,9,False,376,0.068,9,8
3,9,9,False,152,0.083,9,3
4,1,1,False,226,0.041,1,12
5,3,6,False,204,0.019,3-6,4
6,6,6,False,383,0.051,6,9
7,2,2,False,292,0.036,2,10
8,10,10,False,108,0.073,10,11
9,1,1,False,50,0.087,1,12
10,2,8,False,196,0.025,2-8,13
11,6,5,False,359,0.068,6-5,12
12,10,10,False,135,0.025,10,3
13,7,9,False,176,0.086,7-9,3
14,1,1,False,215,0.034,1,0
15,4,4,False,377,0.038,4,1
16,8,8,False,81,0.032,8,13
17,9,9,False,229,0.091,9,8
18,7,3,False,56,0.078,7-3,2
19,2,3,False,226,0.064,2-3,1
20,7,8,False,293,0.087,7-8,3
21,1,1,False,463,0.058,1,12
22,5,5,False,160,0.049,5,12
23,8,5,False,400,0.026,8-5,13
24,2,2,False,337,0.056,2,4
25,4,3,False,408,0.093,4-3,1
26,1,1,False,67,0.094,1,0
27,5,4,False,494,0.017,5-4,12
28,8,8,False,282,0.079,8,13
29,3,3,False,94,0.034,3,1
30,10,10,False,286,0.078,10,11
31,4,4,False,353,0.068,4,4
32,8,8,False,136,0.03,8,5
33,6,9,False,122,0.011,6-9,3
34,1,1,False,46,0.056,1,12
35,5,5,False,77,0.075,5,12
36,10,10,False,252,0.083,10,11
37,4,7,False,220,0.052,4-7,1
38,1,1,False,60,0.015,1,0
39,6,6,False,108,0.027,6,9
40,8,3,False,137,0.089,8-3,13
41,2,2,False,291,0.019,2,4
42,9,9,False,484,0.078,9,3
43,4,8,False,452,0.046,4-8,13
44,1,1,False,145,0.093,1,12
45,8,9,False,259,0.024,8-9,13
46,5,1,False,287,0.015,5-1,12
47,6,10,False,480,0.087,6-10,11
48,3,9,False,105,0.016,3-9,8
49,2,2,False,71,0.095,2,4
50,10,10,True,6343,0.048,10,12
